epoch,lr-Adam,step,train/loss_epoch,train/loss_step,val/accuracy,val/f1,val/loss,val/precision,val/recall
,1.2002927566736742e-05,25199,,,,,,,
0,,25199,,0.20674967765808105,,,,,
,1.2002950848340112e-05,25299,,,,,,,
0,,25299,,0.29636678099632263,,,,,
,1.2002974222150161e-05,25399,,,,,,,
0,,25399,,0.20238253474235535,,,,,
,1.2002997688167051e-05,25499,,,,,,,
0,,25499,,0.2630067765712738,,,,,
,1.2003021246390566e-05,25599,,,,,,,
0,,25599,,0.14695626497268677,,,,,
,1.2003044896820867e-05,25699,,,,,,,
0,,25699,,0.19778990745544434,,,,,
,1.20030686394579e-05,25799,,,,,,,
0,,25799,,0.14519357681274414,,,,,
,1.2003092474301559e-05,25899,,,,,,,
0,,25899,,0.19500881433486938,,,,,
,1.2003116401351896e-05,25999,,,,,,,
0,,25999,,0.22395342588424683,,,,,
,1.200314042060891e-05,26099,,,,,,,
0,,26099,,0.22853060066699982,,,,,
,1.2003164532072496e-05,26199,,,,,,,
0,,26199,,0.2398655265569687,,,,,
,1.200318873574276e-05,26299,,,,,,,
0,,26299,,0.32753849029541016,,,,,
,1.2003213031619594e-05,26399,,,,,,,
0,,26399,,0.27310436964035034,,,,,
,1.2003237419703106e-05,26499,,,,,,,
0,,26499,,0.21607038378715515,,,,,
,1.200326189999308e-05,26599,,,,,,,
0,,26599,,0.19846339523792267,,,,,
,1.2003286472489678e-05,26699,,,,,,,
0,,26699,,0.21869584918022156,,,,,
,1.2003311137192792e-05,26799,,,,,,,
0,,26799,,0.26439452171325684,,,,,
,1.2003335894102476e-05,26899,,,,,,,
0,,26899,,0.21339929103851318,,,,,
,1.2003360743218622e-05,26999,,,,,,,
0,,26999,,0.2579549551010132,,,,,
,1.2003385684541338e-05,27099,,,,,,,
0,,27099,,0.2423558384180069,,,,,
,1.2003410718070462e-05,27199,,,,,,,
0,,27199,,0.18892332911491394,,,,,
,1.20034358438061e-05,27299,,,,,,,
0,,27299,,0.2639240026473999,,,,,
,1.2003461061748147e-05,27399,,,,,,,
0,,27399,,0.3311152458190918,,,,,
,1.2003486371896656e-05,27499,,,,,,,
0,,27499,,0.20607644319534302,,,,,
,1.2003511774251571e-05,27599,,,,,,,
0,,27599,,0.2584232985973358,,,,,
,1.200353726881284e-05,27699,,,,,,,
0,,27699,,0.22466570138931274,,,,,
,1.2003562855580571e-05,27799,,,,,,,
0,,27799,,0.23206955194473267,,,,,
,1.20035885345546e-05,27899,,,,,,,
0,,27899,,0.2008935660123825,,,,,
,1.2003614305735038e-05,27999,,,,,,,
0,,27999,,0.23042483627796173,,,,,
,1.2003640169121828e-05,28099,,,,,,,
